molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1915433,c1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3cnccc23)cc1,103.0,active,338.3740000000001,4.311700000000002,2.0,5.0,6.987162775294828
CHEMBL1915438,Clc1ccccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,104.0,active,372.8190000000001,4.965100000000001,2.0,5.0,6.982966660701219
CHEMBL1915442,Fc1ccccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,70.0,active,356.3640000000001,4.450800000000002,2.0,5.0,7.154901959985743
CHEMBL1915445,Oc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3cnccc23)c(Cl)c1,39.0,active,388.8180000000001,4.670700000000001,3.0,6.0,7.4089353929735005
CHEMBL1915448,Clc1cc(OCCN2CCOCC2)ccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,17.0,active,501.9780000000002,4.676100000000003,2.0,8.0,7.769551078621726
CHEMBL1915638,Fc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3cnccc23)c(F)c1,95.0,active,374.3540000000001,4.589900000000002,2.0,5.0,7.022276394711152
CHEMBL1915639,Fc1ccc(Cl)cc1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,46.0,active,390.8090000000001,5.104200000000002,2.0,5.0,7.337242168318426
CHEMBL1915640,COCCOc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3cnccc23)c(F)c1,44.0,active,430.4430000000001,4.476000000000003,2.0,7.0,7.356547323513813
CHEMBL1915641,Fc1cc(OCCN2CCCC2)ccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,61.0,active,469.52400000000017,4.925400000000003,2.0,7.0,7.214670164989233
CHEMBL1915644,CNC(=O)c1cccc2c1nc(Nc1ccccc1Cl)c1ccncc12,23.0,active,362.8200000000001,4.539600000000003,2.0,4.0,7.638272163982407
CHEMBL1922404,Cn1cc(-c2ccc3nnc(Cc4cccc5c(=O)[nH]ccc45)n3n2)cn1,10000.0,inactive,357.377,1.9570999999999998,1.0,7.0,5.0
CHEMBL1922405,O=c1[nH]ccc2c(Cc3nnc4ccc(-c5ccccc5)nn34)cccc12,10000.0,inactive,353.38500000000005,3.223600000000002,1.0,5.0,5.0
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,30000.0,inactive,554.5440000000001,5.232500000000004,2.0,5.0,4.522878745280337
CHEMBL1933288,C[C@@H]1CCNC(=O)c2cc3ccc(C(=O)Nc4nc5ccccc5n4CCCN(C)C)cc3n21,714.0,active,458.56600000000026,3.8895000000000026,2.0,6.0,6.146301788223826
CHEMBL1933343,Cc1cnc2nc1-c1cccc(c1)OCC/C=C/CN(C)Cc1cccc(c1)N2,22.0,active,386.4990000000001,4.966120000000004,1.0,5.0,7.657577319177793
CHEMBL1933344,CN1C/C=C/CCOc2cccc(c2)-c2nc(nc3[nH]cnc23)Nc2cccc(c2)C1,58.0,active,412.4970000000001,4.534000000000003,2.0,6.0,7.236572006437063
CHEMBL1933346,COc1ccc(-c2nc(Nc3cccc(NC(=O)CN)c3)nc3[nH]cnc23)cc1OC,350.0,active,419.44500000000016,2.6779,4.0,8.0,6.455931955649724
CHEMBL1933582,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCNC5=O)n3)c2)CC1,659.0,active,501.5130000000003,3.1620000000000017,2.0,8.0,6.18111458540599
CHEMBL1938954,Clc1cccc(-n2cc(-c3ccncc3)nn2)c1,10500.0,inactive,256.696,2.9827000000000012,0.0,4.0,4.978810700930062
CHEMBL1938960,Fc1ccc(-n2cc(-c3ccc4nccnc4c3)nn2)cc1,12400.0,inactive,291.28900000000004,3.0166000000000013,0.0,5.0,4.906578314837765
CHEMBL1938962,c1cnc2cc(-c3cn(CCN4CCOCC4)nn3)ccc2n1,10900.0,inactive,310.36099999999993,1.2204999999999995,0.0,7.0,4.962573502059376
CHEMBL1938965,c1ccc(-c2cnnn2C2C3CC4CC(C3)CC2C4)nc1,10200.0,inactive,280.37499999999994,3.3373000000000017,0.0,4.0,4.991399828238082
CHEMBL1940103,COc1cc2ncnc(Nc3cnn(CC(=O)Nc4cccc(F)c4)c3)c2cc1OC,4.0,active,422.4200000000002,3.3649000000000022,2.0,8.0,8.397940008672037
CHEMBL1940104,COc1cccc(NC(=O)Cn2cc(Nc3ncnc4cc(OC)c(OC)cc34)cn2)c1,20.0,active,434.4560000000002,3.2344000000000017,2.0,9.0,7.698970004336019
CHEMBL1940105,COc1cc2ncnc(Nc3cnn(CC(=O)Nc4ccc(N(C)C)cc4)c3)c2cc1OC,4.0,active,447.49900000000025,3.291800000000002,2.0,9.0,8.397940008672037
CHEMBL1940106,COc1cc2ncnc(Nc3cnn(CC(=O)Nc4ccc(N(C)C)cn4)c3)c2cc1OC,10.0,active,448.48700000000025,2.6868000000000007,2.0,10.0,8.0
CHEMBL1940107,COc1cc2ncnc(Oc3cnn(CC(=O)Nc4ccc(N(C)C)cn4)c3)c2cc1OC,3.0,active,449.47100000000023,2.735500000000001,1.0,10.0,8.522878745280337
CHEMBL1940108,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,2.0,active,435.44000000000017,3.283100000000002,1.0,9.0,8.698970004336019
CHEMBL1940109,COCCOc1cc2ncnc(Oc3cnn(CC(=O)Nc4cccc(OC)c4)c3)c2cc1OC,2.0,active,479.4930000000002,3.2997000000000023,1.0,10.0,8.698970004336019
CHEMBL1940110,COCCOc1cc2c(Oc3cnn(CC(=O)Nc4cccc(OC)c4)c3)ncnc2cc1OC,3.0,active,479.4930000000002,3.2997000000000023,1.0,10.0,8.522878745280337
CHEMBL1940111,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OCCN5CCCCC5)cc34)cn2)c1,10.0,active,532.6010000000005,4.139200000000003,1.0,10.0,8.0
CHEMBL1940112,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OCCN5CCCC5)c(OC)cc34)cn2)c1,5.0,active,518.5740000000004,3.749100000000003,1.0,10.0,8.301029995663981
CHEMBL1940113,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)cc(OC)c34)cn2)c1,5.0,active,435.44000000000017,3.283100000000002,1.0,9.0,8.301029995663981
CHEMBL1940114,COc1cccc(NC(=O)Cn2cc(Oc3ccnc4cc(OC)c(C#N)cc34)cn2)c1,40.0,active,429.43600000000015,3.7511800000000015,1.0,8.0,7.3979400086720375
CHEMBL1940115,COc1cccc(NC(=O)Cn2cc(Oc3ccnc4cc(OC)c(OC)cc34)cn2)c1,20.0,active,434.45200000000017,3.8881000000000023,1.0,8.0,7.698970004336019
CHEMBL1940116,CCn1cc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)cn1,4.0,active,423.43300000000016,2.4909,1.0,10.0,8.397940008672037
CHEMBL1940117,CCn1cc(NC(=O)Cc2cc(Oc3ccnc4cc(OC)c(OC)cc34)n[nH]2)cn1,1000.0,active,422.44500000000016,3.165000000000001,2.0,8.0,6.0
CHEMBL1940118,COc1cc2ncnc(Oc3ccc(CC(=O)Nc4ccc(N(C)C)cn4)cc3)c2cc1OC,9.0,active,459.5060000000002,4.081500000000003,1.0,8.0,8.045757490560675
CHEMBL1940259,COc1cccc(NC(=O)Cc2ccc(Oc3ncnc4cc(OC)c(OC)cc34)cc2)c1,7.0,active,445.4750000000002,4.629100000000003,1.0,7.0,8.154901959985743
CHEMBL1940260,COc1cccc(NC(=O)Cc2ccc(Nc3ncnc4cc(OC)c(OC)cc34)cc2)c1,60.0,active,444.4910000000002,4.580400000000003,2.0,7.0,7.221848749616356
CHEMBL1940261,COc1cccc(NC(=O)Cc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)c1,1000.0,active,445.4750000000002,4.629100000000004,1.0,7.0,6.0
